영문명,국문명
BADFACTORY,배드팩토리
BADEE,배디
BAEBAE,배배
BAEKWOL,백월
BAEKRO,백로
BAEK-YA,백야
BAGTOBASICS,백투베이직스
BAGGU,바구
BAGUE,바그
BAKESEOUL,베이크서울
BakedAlaska,베이크드알래스카
BAKESOLE,베이크솔
BALANCEWOOD,밸런스우드
BALANSA,발란사
BALANT,발란트
BALCONY,발코니
BALENCIAGA,발렌시아가
BALLGAME,볼게임
BALLOP,밸롭
BALLUTE,발루트
BALLY,발리
Balmain,발망
BALSA201,발사201
BAN.DO,밴도
bananasisters,바나나시스터즈
BANASILSHOP,바나실샵
BANGAVI,반가비
BAOBAO,바오바오
BARACCA,바라까
BARBOUR,바버
Barrel,배럴
BASQUETEAST,바스켓이스트
Bass,바스
BASTOW,바스토
BAUbyBrideAndYou,비에유바이브라이드앤유
BAUHS,바우스
Bbanzzac,반자크
bb'desoli'de,비비드솔리드
BBYB,비비와이비
BCbybeyondcloset,비욘드클로젯
BEBORNOF,비본오프
bemymood,비마이무드
BEBUMS,비범스
BEDFORD11TH,베드포드11
BEGIN2.0.2,비긴2.0.2
beheder,비헤더
BELIER,벨리에
BELLBOY,벨보이
Bellief,벨리프
BELVEDERE,벨베데레
belysa,베리사
BEMUSEMANSION,비뮤즈맨션
BENDAVIS,벤데이비스
BENFIX,벤픽스
BENIBLA,베니블라
BENSIMON,벤시몽
BERTUCCI,베르투치
BETTERKIND,베터카인드
BeyondClosetcollection,비욘드클로젯컬렉션
BGBERLIN,비지베를린
BIBIEM,비비엠
BIBINIQUE,비비니끄
bibyseob,바이바이섭
BICE,비체
BICYCLETROPHY,바이시클트로피
bienapartment501,비엔아파트먼트501
BIENSENTI,비엔센티
BIENSUR,비앙쉬르
BIFLAPPER,바이플래퍼
BigHugClub,빅허그클럽
BIGUNION,빅유니온
BIGWAVECOLLECTIVE,빅웨이브컬렉티브
BIKERSTARLET,바이커스탈렛
bilingualwepraywework,바이링구얼위프레이위워크
BIMBAYLOLA,빔바이롤라
bimble,빔블
BINOVULAR,비노블라
BIOTHERM,비오템
BIQUABICHE,비콰비채
BIRKENSTOCK,버켄스탁
BIRTHDAYSUIT,벌스데이수트
biscuitshop,비스킷샵
Bittersweet-Jewels,비터스윗쥬얼스
Bjoue,브쥬
BKBC,비케이비씨
BLACKBLOND,블랙블론드
BLACX_YOHANIX,블락스요하닉스
BLAIM,블래임
BLANC&ECLARE,블랑앤에클레어
blancsurblanc,블랑수블랑
BLANCTOE,블랑토
BLANK,블랭크
blank03,블랭크공삼
BleuBlowStudio,블로블로스튜디오
BLINDLOOKINGFORESSENCE,블라인드루킹포에센스
BLINDNESS,블라인드니스
BLONDNINE,블론드나인
BLOSSOM,블러썸
BLOWIND,블로윈드
BLUEELEPHANT,블루엘리펀트
BLUEMOUNTAIN,블루마운틴
BLUEVINE,블루바인
BLUR1.0,블러1.0
BLUSH,블러쉬
BLUSHED,블러쉬드
BLUV,블러브
BMSFRANCE,비엠에스프랑스
BMUET(TE),비뮈에트
BND,비앤디
BODYEFFECT,바디이펙트
bohemianblue,보헤미안블루
BoldriniSelleria,볼드리니셀레리아
BOLSAC,볼삭
BOMGOM,봄곰
BOMIE,보미
BON:E,본이
BONBEAU,봉보
BONIEE,보늬
BONNIE&BLANCHE,바니&블랜치
BONRAW,본로우
BONSAINTZ,본세인츠
bonuma,본뉴마
BOOSTICSUPPLY,부스틱서플라이
BORNCHAMPS,본챔스
BOSQUE,보스크
BOTTEGAVENETA,보테가베네타
BOUCLIER,부클리어
BOULHAUS,보울하우스
BOUTIQUEbyMikshimai,부티크바이믹시마이
bouton,브통
BOVO,보보
bowlloon,보울룬
BOWLS,볼즈
boxandcox,박스앤콕스
boycentral,보이센트럴
bpb,비피비
bpbclub,비피비클럽
BRADOR,브라도
BRADY,브래디
Bramble,브람블
BRANS,브랜즈
BRASSBOATS,브라스보트
BRAVADO,브라바도
bravissimo,브라비시모
BREDA,브레다
Breha,브레하
BRENDABRENDENSEOUL,브렌다브렌든서울
BRENOWELT,브레노웰트
BRIANA,브리아나
BRICK,브릭
BRIDUN,브리든
Bright&Fit,브라이트앤핏
Brillance,브리앙스
BRILLPIECE,브릴피스
Brino,브리노
BRISTON,브리스톤
BROGUEANDMORROW,브로그앤머로우
broister,브로이스터
Brookly,브룩클리
BROWEND.,브로우엔드
BrownHat,브라운햇
BROWNBREATH,브라운브레스
BRUANT,브루앙
BRUMAN,브루먼
BRUNELLOCUCINELLI,브루넬로쿠치넬리
BSQT,비에스큐티
bubilian,버빌리안
BUBP,비유비피
BUBULIERR,부부리에
bueno,부에노
Buhee,부희
BULBUL,불불
BUNDAY,번데이
BURBERRY,버버리
BURNING,버닝
butterblossom,버터블라썸
BUTTERO,부테로
BVH,비브이에이치
BVHOPTICA,비브이에이치옵티카
BVLGARI,불가리
BYBLYTHE,바이블라이스
BYEDIT,바이에딧
BYFAR,바이파
BYTHESEANIKII,바이더씨니키
byebyall,바이바이올
Byeuuns,바이언스
BYJIMI,바이지미
cd˚l,씨디엘
c.c.kim,씨씨킴
C.O.M.E,씨오엠이바이컬러오브마스프롬어스
C.ROUTINE,씨루틴
CabinZero,캐빈제로
CADEAU,꺄도
CAHIERS,까이에
CallMeBaby,콜미베이비
CALVINKLEINWATCH,캘빈클라인와치
camino,카미노
CAMPSIDE,캠프사이드
CanadaGoose,캐나다구스
CANDYSHOP,캔디샵
CANLEAP,캔리프
capricieux,카프리슈
CARGOBROS,카고브로스
CARHARTTUS,칼하트US
CARHARTTWIP,칼하트WIP
CarlaNogueres,칼라노길레스
CARVEN,까르벵
CARVENJEWELRY,까르벵쥬얼리
CASIO,카시오
CASTANER,까스따네르
CATCHBALL,캐치볼
CATERPILLAR,캐터필라
CATTLINE,까트린
CAVALIENI,까발리에니
CDSD,씨디에스디
celine,셀린느
CellarDoor,셀라도어
cellmute,셀뮤트
CeLLVA,첼바
CELUIHURU,
Cendrillon,센드리온
CENE,씬
CENQUR,쌩큐
cerabonito,세라보니또
CEREAL,시리얼
CERTO,쎄르토
CESTI,세스띠
CETTU,체뚜
CHACO,차코
ChaeLook,채룩
ChaemStreet,챔스트리트
CHAEnewyork,채뉴욕
CHAHONG,차홍
CHAMASPORTSLAB,차마스포츠랩
chamelees,챠멜리
CHAMPION,챔피온
chamychamy,차미차미
CHANCECHANCE,챈스챈스
CHANEL,샤넬
CHARMS,참스
CHAUSSURELAPIN,쇼쉬르라팡
CHAZMMFG.,차즘
CHEAPMONDAY,칩먼데이
CHELL,쉘
CHERTOISEOUL,셰르뚜아서울
CHIELEI,키에레이
CHILDISHARCHIVE,차일디시아카이브
CHINDOWN,친다운
CHIQUITA,치키타
CHISWICK,치스윅
CHLOE,끌로에
CHLOEKIM,끌로이킴
CHOISI,쵸이지
CHOISY,초이시
CHORRD,코드
CHOUCHOUBEAUTE,슈슈보떼
Chouettesape,슈엣뜨샤폐
ChristianDior,크리스챤디올
ChristianLouboutin,크리스챤루부탱
CHRISTINEPROJECT,크리스틴프로젝트
CHUBASCO,츄바스코
CHUMS,첨스
chungpepe,청페페
cieldechao,씨엘드차오
CITYBREEZE,시티브리즈
CLABIEN,클라비엔
CLAE,클레이
claon,클라온
CLARKS,클락스
CLATO,클라토
CLAYONG,클레용
CLECLE,클레클레
clemencejewelry,클레멍스주얼리
clet,클렛
clets,클레츠
CLEVERMOVE,클레버무브
CLICCLAC,클릭클락
CLLIB,클립
CLOCLOTHES,씨엘제로클로즈
CLOMOR,클로모르
CLOTHEST.,클로제스트
CLOVE,클로브
ClueDeClare,클루드클레어
CLUTSTUDIO,클럿스튜디오
CMNOD,커먼오드
CO/RCA,코르카
COACH,코치
COAGMENT,코아그먼트
COCCINELLE,코치넬레
COCOCITYBOYS,코코시티보이즈
cocorobox,코코로박스
Codements,코드먼츠
CODENAME:LOOLAPALOOZA,코드네임룰라팔루자
coeternal,코이터널
Coett,코엣
COICOI,쿠아코이
COINONIA,코이노니아
COLEHAAN,콜한
ColetteMalouf,꼴레트말루프
COLLABOMARKET,콜라보마켓
COLLABOTORY,콜라보토리
collagebyL,꼴라쥬바이엘
collagevacance,꼴라주바캉스
COLLEVE,콜레브
COLORCOLLA,컬러콜라
column,칼럼
combstudio,콤스튜디오
COMINGSTEP,커밍스텝
"comma,c",콤마씨
CommedesGarcons,꼼데가르송
CommedesGarconsShoes,꼼데가르송슈즈
COMMESE-A,꼼시아
CommeTuEs,꼼투에
COMME.R,꼼므알
commeD723,꼼므드723
COMMEGEE,꼼므지
COMMONPROJECT,커먼프로젝트
CommonProjects,커먼프로젝트
commonsense,커먼센스
COMONINOZ,꼬모니노즈
COMSONNOT,꼼소넛
COMSPACE1980,컴스페이스1980
conceptcollege,컨셉트컬리지
confeito,콘페이토
CONICHIWABONJOUR,곤니치와봉주르
conique,코니크
CONNcreate,콘크리트
CONOCIDOJEEN,코노시도진
CONTE,콘테
CONTEMPO.H,컨템포에이치
ContemporaryAccounts,컨템포러리어카운츠
CONTINEW,컨티뉴
contour,꽁뚜
CONVERSE,컨버스
COOKERY,쿠커리
COOLENOUGHSTUDIO,쿨이너프스튜디오
COPERNI,코페르니
COQUETSTUDIO,코케트스튜디오
CORALIQUE,코랄리크
CORNERCOLUMN,코너칼럼
COSMOGALLERY,코즈모갤러리
cosmology,코스몰로지
coteacote,꼬떼아꼬떼
cotoit,꼬뜨와
COTTA,코타
COUCOU,코우코우
COURBUI,코르뷔
COURONNE,쿠론
COURRI,코우리
cover-letters,커버레터스
COVERMENT,커버먼트
COVERS,커버스
COVETBLAN,코벳블랑
CPCompany,CP컴퍼니
CPGN,꼼파뇨
CPR,씨피알
CRAFTSCLIP,크래프츠클립
CRANK,크랭크
CRANNE,끄란느
CRASHBAGGAGE,크래쉬배기지
CrazyCarWashCrew,크레이지카워시크루
CROCHEANT,크로쉐안트
CROCS,크록스
CSJFUR,씨에스제이퍼
ctwins,씨트윈스
CUD,커드
cuero,쿠에로
CUREPROGRAM,큐어프로그램
curetty,큐리티
CURIEPIERREMARIE,퀴리피에르마리
Current,커렌트
CUSTOMUS,커스텀어스
CUSTOMADEREPUBLIC,커스텀에이드리퍼블릭
CUTBINE,컷바인
Cutiepie,큐티파이
CYAARVO,시아보
dgoodreal,디굿리얼
D.A.T.E,데이트
D.elfin,디엘핀
D.FLEUR,디플레르
D.PRIQUE,디프리크
DA:EL,다엘
Daejoongso,대중소
DailyMirror,데일리미러
DAIRLENMODE,다이르렌모드
DAL,달
DALMORAE,달모래
DALQUEEN,달퀸
DALTON,달튼
DAMAGEMNEMONIC,데미지니모닉
DanaBurton,다나버튼
Dangledrop,댕글드랍
DANI,다니
DANSKIN,단스킨
DANTIDOTE,디앤티도트
DANTON,단톤
DAONATO,다온아토
Daphne,다프네
DAQD,디에이큐디
DARI,다리
dartelier,달뜰리에
DAVIDSTONE,데이빗스톤
dawnanddusk,다운앤더스크
DAYDARE,데이데어
DAYLIFE,데이라이프
DAYLIGHTNEWYORK,데일라잇뉴욕
DAZEDAYZ,데이즈데이즈
DCLIP,디클립
ddtt,디디티티
delalune,데라룬
DeMay,드메이
DENOBLE,디노블
depoupee,드뿌삐
Devaleur,드벨르
DEAMUSE,디어뮤즈
DEANS,딘스
DEARMAISON,디어메종
DEARMILER,디어마일러
DEARMYDAUGHTER,디어마이도터
DEARPEGGY,디어페기
dearyu,디어류
de'arciel,드아르씨엘
DearK,디어케이
dearpeer,디어피어
DEARSTALKER,디어스토커
DEBASSQQ,드바스크
DEBB,뎁
DebuTante,데뷰턴트
DECKE,덱케
DECOVIEW,데코뷰
DEEPBROW,딥브로우
DEFAULT,디폴트
DeFemme,드팜므
DEFOND,드퐁
Defrag,디프래그
deJouet,드쥬에
delidi,딜라이디
DELIGHTPOOL,딜라잇풀
DELILIUM,델리리움
DELL’EST,델레스트
DeMAKER,드메이커
DEMARS,드마스
DEMERE,드미어
demeriel,드메리엘
DEMONHIDE,데몬하이드
DEMONSTRATE,데몬스트레이트
DENIVEL,드니벨
DENMADE,덴메이드
DENOMME,데노메
DEPASCAL,디파스칼
DEPIEDE,드피에드
DEPOUND,드파운드
DERKOFFER,델코퍼
DERROHE,데어로에
DESCENTE,데상트
DesignLetters,디자인레터스
DESMAMAN,데마망
deute,듀트
deuxfoish,드푸와에이치
DEVIWEAR,데비웨어
DEWEDEWE,듀이듀이
Dewydesert,듀이데저트
dfarbe,디파르베
DGNAK12,디그낙12
Dgre,디그레
DIAFELIZ,디아펠리즈
DIAGONAL,다이애그널
DICKIES,디키즈
DIDIBOYU,디디보유
Di-EPHOD,디에봇
DIERNEAS,디어니스
DIESEL,디젤
DIOR,디올
DiorHomme,디올옴므
Ditole,디토레
DITTO,디토
DKNY,디케이엔와이
dmoment,디모멘트
DOCONCEPT,두컨셉
doigte,드와떼
DOIY,도이
DOL,돌
Dolce&Gabbana,돌체앤가바나
DOMBA,돔바
DON`TASKMYPLAN,돈애스크마이플랜
DONA&D.,도나앤디
DONADONA,도나도나
doniray,도니레이
donkie,돈키
dontforgetme,돈포겟미
doodlebag,두들백
doratore,도라토레
Dossierzero,도시에제로
DOT.,닷
DOUBLEADRENALINESYNDROME,더블아드레날린신드롬
DOUBLELOVERS,더블러버스
doublequotes,더블쿼츠
DOUCAN,두칸
dough,도우
DOUZE,두즈
DOZOH,도조
DRDENIM,닥터데님
DR.MARTENS,닥터마틴
DREAMWORLD,드림월드
drewdraw,드류드로
DRIFE,드라이프
dropdropdrop,드롭드롭드롭
DSQUARED2,디스퀘어드
DUMATIN,두마딴
DUT'Ai,뒤테
DUBLIN,더블린
DUFFIE,더피
DUKAAIF,듀카이프
DunstforMEN,던스트포맨
DunstforWOMEN,던스트
dustymauve,더스티모브
DUXS,덕스
DVINE,디바인
DWMU,디더블유엠유
DWSCOMPANY,드러그위드아웃사이드이펙트
DYS,디와이에스
EDE,이드
EAAH,이아
EAREE,이어리
EARPEARP,어프어프
EARTHUS,어더스
ease,이즈
EASTINDIGO,이스트인디고
EASTLOGUE,이스트로그
EASTPAK,이스트팩
easymue,이지무이
EAUCLAIR,오끌레르
EBLIN,에블린
ECHOND,에콘드
eclatstudio,에끌라스튜디오
EcommaE,이콤마이
Ecrit,에크릿
edel9,에델나인
edition.B,에디션비
EDITIONWOOD,에디션우드
EDITORIAL2.0,에디토리얼이쩜영
eeasee,이즈
eee,이이에
EENK,잉크
EFELD,에펠드
egarden,에가든
EGGBO,에그보
EGOVERO,에고베로
EHSTORES,이에이치스토어스
EIEN29,에이엔29
EIFFELCLASSIC,에펠클래식
EIRENE,에이레네
EJnolee,이제이노리
EKDESIGN,이케이디자인
EKAN,에칸
EKHON,에콘
ekrubydgramm,에크루바이디그람
ElShaddai,엘샤다이
ELBATEGEV,엘바테게브
Eleph,엘리프
eles's,에레스
Eli`sroom,앨리스룸
ELISEJ,엘리스제이
ElizbyLizgallery,엘리즈바이리즈갤러리
ElizabethMoments,엘리자베스모먼트
ELLEJewelry,엘르주얼리
ELLIOTI,엘리오티
ELLIPSIS,일립시스
ellonarc,엘런아크
ELNOI,엘노이
ELNORE,엘노어
ELOQ,엘록
ELWKStudio,잇리브워크
ELYONA,엘리오나
Emin&Paul,에민앤드폴
EMIS,이미스
emm,이엠엠
EMMANUELLEKHANH,엠마누엘콴
EMP.TLABEL,엠프티레이블
EMPORIOARMANI,엠포리오아르마니
EMU,이뮤
ENCEMOMENT,앙스모멍
ENOR,엔오르
Endot,엔도트
ENGBROX,앵브록스
ENOT,이노트
ENRICH,인리치
ENTHUSIA,엔더시아
ENTREREVES,앙트레브
ENYA,엔야
ENZOBLUES,엔조블루스
EOM,이오엠
EONE,이원
EOTS,이오츠
eoustudio,이오스튜디오
EP2B70,이피이비칠공
ephe,에페
EPICSODE,에픽소드
EPINGLER,에핑글러
Eponym,에포님
ERGHE,에르게
ESFAI,에스파이
ESLATTI,에스라티
ESN,이에스엔
ESPASOLE,에스파솔
espoir,에스쁘아
ESSENSISTUDIO,에센시스튜디오
ESTERISK,에스터리스크
etal.,에트알
etplus,에쁠뤼스
ETCH,에취
ETELIN,에뗄린
ETHNOTEK,에스노텍
ETMON,에트몽
etretoit,에트레트와
Etui,에투이
evance,에반스
EVANCHRIS,에반크리스
EVANLAFORET,에번라포레
EvenFlow,이븐플로우
EVERKI,에버키
EVERYBIRTHDAY,에브리벌스데이
evol,에볼
EXCELSIOR,엑셀시오르
EXPIREDGIRL,익스파이어드걸
Extraordinary,엑스트라오디너리
Exyai.w,엑스와이
EYEYE,아이아이
EYIEN,에이엔
EZIO,이지오
F.cocoromiz,에프코코로미즈
F_by_IHM,에프바이아이에이치엠
F_WD,포워드
FABERFINGER,파베르핑거
FABIORUSCONI,파비오루스코니
Fabricology,패브릭컬러지
FACADEPATTERN,파사드패턴
FACEFONTS,페이스폰트
FACETION,페이션
facons,파송즈
FACTORIALLABEL,팩토리얼레이블
fadeiin,페이딘
FADEMINE,페이드마인
faff,패프
FAITHFUL,페이스풀
FAKEMAMA,페이크마마
FAKEME,페이크미
Fallon,팔론
FANYOUNG,환영
FANACULT,파나컬트
fantasiagabrielle,판타지아가브리엘
FantasticGeneration,판타스틱제너레이션
FANTASTICPLANET,판타스틱플래닛
FASSweden,파스스웨덴
FASCINAR,파시나르
FASTPACKINGSERVICE,패스트패킹서비스
FatalGhost,페이탈고스트
Fatalism,페이탈리즘
FAVV,페이브
FAYEWOO,페이우
FAYRI,페이리
FearofGod,피어오브갓
FEBRU,페브루
februarysecond,페브러리세컨드
FECT,펙트
fefestudio,페페스튜디오
FEIYUE,페이유에
FELLAS1932,펠라스1932
Felt&Son,펠트앤선
FENDI,펜디
FENNEC,페넥
FERKER,페르커
FernandezyRoche,페르난데즈로쉐
Ferragamo,페라가모
FEVERISH,피버리쉬
FEVERISH&NAUGHTY,피버리쉬앤너티
FEVERTIME,피버타임
ffroi,프루아
FIABA,피아바
FIBRENO,피브레노
FIFTY.SU,피프티수
FILA,휠라
fille,피으
FILLINTHEBLANK,필인더블랭크
filobisknot,필로비스놑
FILSON,필슨
findchillin,파인드칠린
Finethe,파인더
FINNLEE,핀리
Finoacinque,피노아친퀘
fiore,피오레
FIRENZEATELIER,피렌체아뜨리에
Firmly,펌리
FITFLOP,핏플랍
FITZGERALDLOVE,피츠제럴드러브
FIVE&DIME,파이브앤다임
FIVE&PLUS,파이브엔플러스
FIXNOTHING,픽스낫띵
flan,플랑
FLAREUP,플레어업
FLASK,플라스크
FLATAPARTMENT,플랫아파트먼트
FLATAPARTMENTCIRCLE,플랫아파트먼트써클
FLATPOINT,플랫포인트
flateighty,플랫80
fleamadonna,프리마돈나
FLEECEMELBOURNE,플리스멜번
FlenoSeoul,프레노서울
FLEXXION,플렉션
fliaer,플리에르
FLIT101,플릿101
FLOPOP,플로팝
fLor,플로르
floribus,플로리부스
FLORIDASTUDIO,플로리다스튜디오
flotte,플로트
FLOWOOM,플로움
FLUID,플루이드
FLUIRE,플뤼르
FLUKE,플루크
FlutterStudio,플러터스튜디오
FOCEPS,포셉
FOGBOW,포그보우
FOIT,포이트
FORMATIVE,포머티브
FORMYSIS,포마이시스
FOSSA,포사
fossette,포세뜨
FOSSIL,파슬
fourseasonsshine,포시즌샤인
Fourteen,포틴
FOURTH'k,포스케
Foyer,포이어
FRAAS,프라스
FRAMEHUNT,프레임헌트
FRANKCUSTOM,프랭크커스텀
FREAKS,프릭스
FREDPERRY,프레드페리
FREDRIQUECONSTANT,프레드릭콘스탄트
FREEAK,프리크
FREI,프라이
FREIHEIT,프라이하잇
FREIKNOCK,프라이노크
FRENDS,프렌즈
FridaKahlo,프리다칼로
FRITOPROJECTS,프리토프로젝트
FRITT,프릿
fritt'e,프리테
fromChoicE,프롬초이스
FROMPJ,프롬피제이
FROMHENCE,프롬헨스
FROMMARK,프롬마크
FRONTROW,프론트로우
FRONTROWMEN,프론트로우맨
FRUI,프루이
FRUITOFTHELOOM,프룻오브더룸
Fruta,후루타
FUGUGENELABORATORY,푸구진래버러토리
FUMAGALLI1891,푸마갈리
FUNEATHER,펀에더
FUNFROMFUN,펀프롬펀
FUNKIHUSK,펑키허스크
FUZA,퓨자
GABRIELLEE,가브리엘리
GAC,객
gaimo,가이모
GAINSBORO,게인스보로
Gait,게이트
GANISONG,가니송
GANNI,가니
GANT,간트
GAP,갭
GARCONTIMIDE,가르송티미드
GARMENTLABLE,가먼트레이블
